ParticipantID,MotionParallax,TrialNumber,Time,headPositionX,headPositionY,headPositionZ,headRotationX,headRotationY,headRotationZ
sef,1,1,1.517826,0.04113991,2.892952,-15.43745,356.941,0.8383321,0.4808958,
sef,1,1,1.528923,0.04111743,2.892965,-15.43747,356.9362,0.844065,0.4818615,
sef,1,1,1.540017,0.04095401,2.893137,-15.4377,356.9338,0.8253298,0.4927438,
sef,1,1,1.551543,0.04110121,2.892992,-15.43761,356.9616,0.8322346,0.4765509,
sef,1,1,1.562233,0.04111407,2.892992,-15.43762,356.9691,0.8304727,0.4754836,
sef,1,1,1.573448,0.04098959,2.893027,-15.43758,356.9664,0.8291818,0.4861886,
sef,1,1,1.584696,0.04097936,2.893025,-15.4376,356.9512,0.8364255,0.4810115,
sef,1,1,1.595695,0.04109839,2.892866,-15.43749,356.9642,0.8398387,0.4702899,
sef,1,1,1.606793,0.04110249,2.892875,-15.43751,356.9691,0.8328171,0.4784444,
sef,1,1,1.617744,0.04121428,2.892983,-15.43745,356.9836,0.8420044,0.4608608,
sef,1,1,1.62885,0.04084319,2.893134,-15.43774,356.9591,0.8351737,0.4852465,
sef,1,1,1.639931,0.04081317,2.893147,-15.43777,356.9487,0.8323751,0.4834138,
sef,1,1,1.651062,0.04095121,2.892995,-15.43756,356.9667,0.8323717,0.4781392,
sef,1,1,1.662217,0.040912,2.893022,-15.43758,356.9781,0.844617,0.4817346,
sef,1,1,1.673342,0.04089864,2.893025,-15.4376,356.9684,0.8410364,0.4811589,
sef,1,1,1.684982,0.04088702,2.89305,-15.43763,356.9652,0.8357522,0.4796013,
sef,1,1,1.695519,0.04086842,2.893076,-15.43764,356.9588,0.840821,0.4798123,
sef,1,1,1.706701,0.04086055,2.893104,-15.43766,356.9648,0.840808,0.477935,
sef,1,1,1.717711,0.04100165,2.893471,-15.43779,356.9644,0.840054,0.4673816,
sef,1,1,1.72886,0.04097462,2.893153,-15.43755,356.9753,0.852246,0.4701964,
sef,1,1,1.740622,0.04097215,2.893166,-15.43756,356.967,0.8516617,0.4771817,
sef,1,1,1.750999,0.0410032,2.893088,-15.43755,356.955,0.845505,0.4686292,
sef,1,1,1.762089,0.04098926,2.893121,-15.43756,356.9733,0.8445716,0.4676954,
sef,1,1,1.773298,0.04098057,2.893122,-15.43758,356.9685,0.8372592,0.4677908,
sef,1,1,1.784432,0.04095286,2.893121,-15.4376,356.9658,0.8401914,0.4650227,
sef,1,1,1.795601,0.04095888,2.893295,-15.43761,356.9678,0.8395121,0.4718798,
sef,1,1,1.806584,0.04094911,2.893351,-15.43784,356.959,0.8413254,0.4668576,
sef,1,1,1.818381,0.04094897,2.89338,-15.43786,356.9607,0.8327323,0.4637217,
sef,1,1,1.8289,0.04083982,2.893552,-15.4378,356.9681,0.8398359,0.4818828,
sef,1,1,1.841966,0.04083315,2.893584,-15.43783,356.9608,0.8347907,0.4718632,
sef,1,1,1.853214,0.04089435,2.893216,-15.43767,356.9581,0.8410271,0.4823094,
sef,1,1,1.8627,0.04089362,2.89324,-15.43769,356.962,0.8392496,0.4874329,
sef,1,1,1.874235,0.04066756,2.893507,-15.43791,356.9554,0.8361818,0.5025392,
sef,1,1,1.887297,0.04064854,2.893527,-15.43795,356.9372,0.8346597,0.5013902,
